filename,title,audience,topic,market,hook,cta,recommended_url,featured,status,notes
agent-free-1-0-buydown-program.mp4,Free 2-1 buydown talking points for agents,agent,Free 1 0 Buydown Program,,2-1 buydown talking points for agents.,Agent playbook,/learn/2-1-buydowns,yes,library,
agent-negotiating-mortgage-skit.mp4,Negotiating Mortgage Skit,agent,Negotiating Mortgage Skit,,Financing negotiation in client deals.,Agent resources,/agents/financing-playbook,yes,library,
brand-bigfoot-wine-tasting-skit.mp4,Bigfoot Wine Tasting Skit,general,Bigfoot Wine Tasting Skit,,Bigfoot Wine Tasting Skit — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-chris-butler-intro-washington.mp4,Chris Butler — Washington licensed advisor,general,Chris Butler Intro Washington,Washington,Founder intro—Washington licensed context.,About the playbook,/about,yes,library,
brand-client-skit-not-weird.mp4,Client Skit Not Weird,general,Client Skit Not Weird,,Client Skit Not Weird — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-loan-playbook-intro.mp4,Loan Playbook Intro,general,Loan Playbook Intro,,What The Loan Playbook is building.,Explore the site,/,no,library,
brand-merry-christmas-greeting.mp4,Merry Christmas Greeting,general,Merry Christmas Greeting,,Merry Christmas Greeting — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-mortgage-explained-while-running.mp4,Mortgage Explained While Running,general,Mortgage Explained While Running,,Mortgage Explained While Running — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-new-years-eve-vegas-skit.mp4,New Years Eve Vegas Skit,general,New Years Eve Vegas Skit,,New Years Eve Vegas Skit — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-not-every-video-is-perfect.mp4,Not Every Video Is Perfect,general,Not Every Video Is Perfect,,Not Every Video Is Perfect — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
