original_filename,new_filename,status
20251221_theloanplaybook_7586488501772799245_The 7 Days of Mortgage Chaos Countdown to Christmas  Da.mp4,market-mortgage-chaos-countdown-day1.mp4,renamed
20251222_theloanplaybook_7586853486000721207_The 7 Days of Mortgage Chaos Countdown to Christmas  Da.mp4,homeowner-refinance-mortgage-chaos-day2.mp4,renamed
20251225_theloanplaybook_7587878073492688159_Merry Christmas from our crew to yours  Hope your day i.mp4,brand-merry-christmas-greeting.mp4,renamed
20251226_theloanplaybook_7588388076238408974_That quick car payment Its the.mp4,buyer-avoid-new-debt-before-closing.mp4,renamed
20251228_theloanplaybook_7589082157499305271_When a snowy owl lands and no one flinches you know the.mp4,buyer-rate-vs-price-strategy.mp4,renamed
20251230_theloanplaybook_7589755564381474062_When the market gets loud strategy gets quiet You dont .mp4,market-strategy-over-rate-noise.mp4,renamed
20251230_theloanplaybook_7589766483740265742_If youve owned your home more than 12 months and havent.mp4,homeowner-12-month-mortgage-review.mp4,renamed
20251231_theloanplaybook_7590176570090818846_If a raccoon a bear a giraffe and a New Years Eve Vegas.mp4,brand-new-years-eve-vegas-skit.mp4,renamed
20260105_theloanplaybook_7592060245317356813_You dont need perfect credit You need the right game pl.mp4,buyer-credit-score-game-plan.mp4,renamed
20260106_theloanplaybook_7592361618118364471_Prequalified just means you talked to someone Preapprov.mp4,buyer-prequalified-vs-preapproved.mp4,renamed
20260107_theloanplaybook_7592760838549736717_Everyone freaks out over one mortgage number and sudden.mp4,buyer-dont-panic-over-rate-number.mp4,renamed
20260108_theloanplaybook_7593183683712994590_FROM THE HOME FRONT  Homeowners across the country are .mp4,homeowner-refinance-opportunity-update.mp4,renamed
20260109_theloanplaybook_7593500032951799095_Every video doesnt turn out perfect My rhythm definitel.mp4,brand-not-every-video-is-perfect.mp4,renamed
20260112_theloanplaybook_7594631659190766862_Trying to explain the mortgage market right now  For mo.mp4,market-fed-bond-buying-rates-explained.mp4,renamed
20260113_theloanplaybook_7594925058758364430_Everyones waiting for the perfect rate Meanwhile the ho.mp4,buyer-marry-house-date-rate.mp4,renamed
20260113_theloanplaybook_7595013671953108237_Quick intro  Im Chris Butler with Broadview Lending I m.mp4,brand-chris-butler-intro-washington.mp4,renamed
20260114_theloanplaybook_7595273725084273934_Rates dont pay the bills payments do  Everyones obsesse.mp4,buyer-rate-vs-payment-focus.mp4,renamed
20260115_theloanplaybook_7595739174586649911_When rates rise fear spreads and bad advice comes out o.mp4,buyer-rate-fear-bad-advice.mp4,renamed
20260116_theloanplaybook_7596088985126964493_Using medieval advice in todays housing market feels a .mp4,buyer-outdated-home-buying-advice.mp4,renamed
